epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15422.2,1.32316,1.05615,1.28651,0.48086,0.4355,0.39022,0.18618,1.77654,1.41455,1.68809,0.000742625,0.000742625,0.000742625
43,16043.4,1.31756,1.04275,1.28083,0.46104,0.43265,0.4051,0.19396,1.75427,1.39125,1.6766,0.00073025,0.00073025,0.00073025
44,17171,1.31284,1.0131,1.27706,0.46215,0.39878,0.37541,0.18247,1.75245,1.44317,1.65624,0.000717875,0.000717875,0.000717875
45,18016.8,1.32624,1.03385,1.28927,0.45954,0.44724,0.39279,0.19128,1.75251,1.39366,1.66713,0.0007055,0.0007055,0.0007055
46,18720.3,1.32326,1.01623,1.27645,0.4669,0.43154,0.39684,0.19446,1.76227,1.42303,1.67321,0.000693125,0.000693125,0.000693125
47,19332.8,1.31648,1.02657,1.28383,0.46474,0.45574,0.40146,0.19451,1.74839,1.39576,1.65563,0.00068075,0.00068075,0.00068075
48,20006.1,1.30821,1.01044,1.2773,0.47574,0.45141,0.39863,0.19401,1.75074,1.38293,1.6508,0.000668375,0.000668375,0.000668375
49,21121.9,1.29385,0.97331,1.25793,0.4736,0.43065,0.39677,0.19162,1.7518,1.40741,1.67269,0.000656,0.000656,0.000656
50,21751.7,1.30191,1.00114,1.27377,0.50606,0.40627,0.39948,0.19337,1.74436,1.41945,1.65107,0.000643625,0.000643625,0.000643625
51,22512.6,1.288,0.97362,1.25886,0.47631,0.44068,0.40249,0.19646,1.76065,1.41473,1.67369,0.00063125,0.00063125,0.00063125
52,23393.7,1.29071,0.97721,1.25953,0.50691,0.44636,0.41727,0.20116,1.77041,1.40447,1.68486,0.000618875,0.000618875,0.000618875
53,24428.9,1.28377,0.97167,1.25992,0.49577,0.45864,0.40737,0.19974,1.75519,1.36451,1.67345,0.0006065,0.0006065,0.0006065
